ID,Label
0cbc55bc-bbac-11e8-b2ba-ac1f6b6435d0,1
fcff15d8-bbb5-11e8-b2ba-ac1f6b6435d0,0
2262b064-bbbb-11e8-b2ba-ac1f6b6435d0,6
940b882a-bba3-11e8-b2b9-ac1f6b6435d0,3
364514a2-bba0-11e8-b2b9-ac1f6b6435d0,15
01b54382-bb9c-11e8-b2b9-ac1f6b6435d0,2
d7205102-bbaa-11e8-b2ba-ac1f6b6435d0,10
42ea07dc-bbb2-11e8-b2ba-ac1f6b6435d0,0
4eef82c6-bb9b-11e8-b2b9-ac1f6b6435d0,16
783963fa-bbb3-11e8-b2ba-ac1f6b6435d0,5
7aecb3ea-bba4-11e8-b2b9-ac1f6b6435d0,7
d8dc627c-bba2-11e8-b2b9-ac1f6b6435d0,12
cc4e7030-bba3-11e8-b2b9-ac1f6b6435d0,13
90b30fca-bbb9-11e8-b2ba-ac1f6b6435d0,4
ce2a1a64-bbba-11e8-b2ba-ac1f6b6435d0,2
e49645c8-bba3-11e8-b2b9-ac1f6b6435d0,14
1e91568a-bbc9-11e8-b2bc-ac1f6b6435d0,0
04aa916a-bbc8-11e8-b2bc-ac1f6b6435d0,2
c5df29d4-bbca-11e8-b2bc-ac1f6b6435d0,14
14173b9a-bbc7-11e8-b2bc-ac1f6b6435d0,12
8b14af46-bbba-11e8-b2ba-ac1f6b6435d0,13
3462ed18-bbbd-11e8-b2ba-ac1f6b6435d0,16
ff98ee96-bbb4-11e8-b2ba-ac1f6b6435d0,9
d53af674-bba2-11e8-b2b9-ac1f6b6435d0,13
a146b7fe-bbb6-11e8-b2ba-ac1f6b6435d0,16
4657816c-bbba-11e8-b2ba-ac1f6b6435d0,0
83f0bd46-bbb4-11e8-b2ba-ac1f6b6435d0,13
0554f8be-bba8-11e8-b2ba-ac1f6b6435d0,7
e25914a2-bbc6-11e8-b2bc-ac1f6b6435d0,3
36842528-bbac-11e8-b2ba-ac1f6b6435d0,0
4b8876d6-bba7-11e8-b2ba-ac1f6b6435d0,9
11080f6e-bbc3-11e8-b2bc-ac1f6b6435d0,16
3753f098-bbc8-11e8-b2bc-ac1f6b6435d0,10
821e5f44-bbbb-11e8-b2ba-ac1f6b6435d0,5
907263e6-bb99-11e8-b2b9-ac1f6b6435d0,0
47bd5da8-bbae-11e8-b2ba-ac1f6b6435d0,1
84a01af4-bbc6-11e8-b2bc-ac1f6b6435d0,13
9039428e-bbba-11e8-b2ba-ac1f6b6435d0,9
2c1c30ea-bbc4-11e8-b2bc-ac1f6b6435d0,13
0663a836-bbad-11e8-b2ba-ac1f6b6435d0,12
20e47270-bbb3-11e8-b2ba-ac1f6b6435d0,5
9c2f13a4-bbc7-11e8-b2bc-ac1f6b6435d0,0
35a04506-bbb1-11e8-b2ba-ac1f6b6435d0,2
37c872b2-bbc1-11e8-b2bb-ac1f6b6435d0,0
11e5b790-bbca-11e8-b2bc-ac1f6b6435d0,12
2e502d04-bbc3-11e8-b2bc-ac1f6b6435d0,0
9bc13520-bbb6-11e8-b2ba-ac1f6b6435d0,13
517ffbbe-bbbf-11e8-b2ba-ac1f6b6435d0,9
ba6506cc-bba3-11e8-b2b9-ac1f6b6435d0,9
942ba3aa-bb9c-11e8-b2b9-ac1f6b6435d0,0
0ede5788-bbc9-11e8-b2bc-ac1f6b6435d0,14
c4857ef2-bbb7-11e8-b2ba-ac1f6b6435d0,1
794ac0bc-bba5-11e8-b2ba-ac1f6b6435d0,0
cb01ab98-bbc1-11e8-b2bb-ac1f6b6435d0,16
bb07875e-bba2-11e8-b2b9-ac1f6b6435d0,7
5339d516-bbc3-11e8-b2bc-ac1f6b6435d0,4
8b8b19ba-bbc4-11e8-b2bc-ac1f6b6435d0,0
590fb052-bba8-11e8-b2ba-ac1f6b6435d0,16
